
**** VECTORS ****
workingStat:vector Network.server.processor (#0 - General-0-20200518-14:28:24-165040),,workingStat:vector Network.server.disk (#0 - General-0-20200518-14:28:24-165040),,workingStat:vector Network.remote_server (#0 - General-0-20200518-14:28:24-165040),,completedTransactions:vector Network.server.processor (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[1] (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[2] (#0 - General-0-20200518-14:28:24-165040),,responseTimeStat:vector Network.client[0] (#0 - General-0-20200518-14:28:24-165040),
42.046124736951,1.751909436810999747,,,,,,,,,,,,
42.795508688894,2.501293388754000082,,,,,,,,,,,,
42.844919347839,2.550704047698999937,,,,,,,,,,,,

**** STATISTICS ****
run,repetition,module,name,count,sumweights,mean,stddev,min,max
General-0-20200518-14:28:24-165040,0,Network.client[0],responseTimeStat:stats,9,,4.2705485296092,3.4003593085708,0.728273685551,12.066215249789
General-0-20200518-14:28:24-165040,0,Network.client[1],responseTimeStat:stats,13,,2.9762869250535,2.4604848306143,0.214964096385,8.687401409889
General-0-20200518-14:28:24-165040,0,Network.client[2],responseTimeStat:stats,13,,3.1340522147806,1.8241275741233,0.729007924364,6.668745409377
General-0-20200518-14:28:24-165040,0,Network.server.disk,workingStat:stats,27,,0.39630877789141,0.34525785409405,0.017198077927,1.5707446185
General-0-20200518-14:28:24-165040,0,Network.server.processor,completedTransactions:stats,35,,18,10.24695076596,1,35
General-0-20200518-14:28:24-165040,0,Network.server.processor,workingStat:stats,88,,6.1843047015068,5.0633750717565,0.04085795261,17.857100497854
General-0-20200518-14:28:24-165040,0,Network.remote_server,workingStat:stats,18,,0.27317085437978,0.27340707536074,0.001411962148,0.982542953314
